label,timestamp1,timestamp2,FP1_fir,FP2_fir,FP3_fir,FP4_fir,FP5_fir,FP6_fir,FP7_fir,FP8_fir,ToF_fir
stationary,,,4.7693328857421875,4.873770713806152,4.82155179977417,4.682301044464111,4.682301044464111,5.013021469116211,4.7693328857421875,5.117459297180176,1.3402869701385498
stationary,,,22.323442459106445,22.69068717956543,22.507064819335938,22.017404556274414,22.017404556274414,22.362247467041016,22.323442459106445,22.83393096923828,6.08806848526001
stationary,,,69.24913024902344,70.22871398925781,69.73021697998047,68.41830444335938,68.41830444335938,68.7334976196289,69.24913024902344,70.06291198730469,18.97032928466797
stationary,,,142.23126220703125,143.7536163330078,143.17941284179688,140.9551544189453,141.0247802734375,138.50001525878906,142.509765625,140.9755401611328,38.849735260009766
stationary,,,211.75372314453125,213.3895263671875,213.29714965820312,210.51242065429688,210.8616943359375,205.04510498046875,212.820068359375,208.07247924804688,58.706329345703125
stationary,,,251.5458221435547,253.12693786621094,254.5432891845703,250.8200225830078,251.99118041992188,246.63516235351562,254.73678588867188,249.3446502685547,71.49252319335938
stationary,,,259.3985290527344,261.10760498046875,264.0026550292969,259.25921630859375,261.8189392089844,260.3297119140625,264.88232421875,262.18682861328125,75.85368347167969
stationary,,,256.7420959472656,258.73046875,262.194091796875,256.7539978027344,261.04541015625,264.41412353515625,263.4139709472656,264.9495544433594,76.4841537475586
stationary,,,254.8098602294922,256.185546875,259.23565673828125,254.4617156982422,260.28955078125,263.73602294921875,259.8057556152344,263.1572570800781,75.89898681640625
stationary,,,255.72019958496094,256.2544860839844,258.56829833984375,255.46337890625,262.5218200683594,262.94049072265625,257.1986083984375,261.9927978515625,75.43037414550781
stationary,,,258.8143310546875,258.85565185546875,261.6936950683594,259.1051025390625,267.0193176269531,264.1307373046875,257.92108154296875,264.01849365234375,74.90839385986328
stationary,,,260.9604187011719,261.1744384765625,264.2526550292969,262.1145324707031,268.7124938964844,264.5243225097656,259.0921325683594,266.1518859863281,73.98258972167969
