label,timestamp1,timestamp2,FP1_fir,FP2_fir,FP3_fir,FP4_fir,FP5_fir,FP6_fir,FP7_fir,FP8_fir,ToF_fir
14524-testCPR-tooHigh,,,3.9338293075561523,3.8119850158691406,3.8119850158691406,3.8990166187286377,4.003454685211182,4.0904860496521,3.8990166187286377,3.9860482215881348,1.131411075592041
14524-testCPR-tooHigh,,,17.766698837280273,17.21640396118164,17.21640396118164,17.609472274780273,18.081153869628906,18.47422218322754,17.609472274780273,18.002540588378906,5.092484951019287
14524-testCPR-tooHigh,,,55.31985855102539,53.60641098022461,53.60641098022461,54.84770584106445,56.29896926879883,57.522857666015625,54.830299377441406,56.05419158935547,15.901589393615723
14524-testCPR-tooHigh,,,113.01741027832031,109.51741027832031,109.51741027832031,112.07861328125,115.01740264892578,117.51740264892578,112.01741027832031,114.51741027832031,32.53486633300781
14524-testCPR-tooHigh,,,170.75875854492188,165.47219848632812,165.47219848632812,169.41448974609375,173.77963256835938,177.53834533691406,169.24832153320312,173.00701904296875,49.39390182495117
14524-testCPR-tooHigh,,,208.46067810058594,202.0283660888672,202.01095581054688,206.8905487060547,212.16360473632812,216.69192504882812,206.617919921875,211.16363525390625,60.58412551879883
14524-testCPR-tooHigh,,,222.487548828125,215.67059326171875,215.60939025878906,220.85621643066406,226.47911071777344,231.16473388671875,220.52236938476562,225.26918029785156,64.7671127319336
14524-testCPR-tooHigh,,,226.51043701171875,219.6765899658203,219.51043701171875,224.90399169921875,230.6940155029297,235.25521850585938,224.51043701171875,229.23780822753906,65.81487274169922
14524-testCPR-tooHigh,,,226.42138671875,219.67660522460938,219.42138671875,224.92138671875,230.73780822753906,235.16616821289062,224.42138671875,229.10494995117188,65.46524047851562
14524-testCPR-tooHigh,,,226.24478149414062,219.49998474121094,219.24476623535156,224.83384704589844,230.66615295410156,235.07859802246094,224.24476623535156,228.89505004882812,65.1835708618164
14524-testCPR-tooHigh,,,226.1398162841797,219.32339477539062,219.1572265625,224.7447967529297,230.57861328125,235.07861328125,224.15724182128906,228.76219177246094,64.91239929199219
14524-testCPR-tooHigh,,,226.2009735107422,219.32337951660156,219.26217651367188,224.7447967529297,230.57861328125,235.18357849121094,224.26219177246094,228.76217651367188,64.6239242553711
14524-testCPR-tooHigh,,,226.33383178710938,219.5174102783203,219.49998474121094,224.8512420654297,230.7009735107422,235.33384704589844,224.50001525878906,228.9124298095703,64.50545501708984
