label,timestamp1,timestamp2,FP1_variance,FP1_min,FP1_max,FP2_variance,FP2_min,FP2_max,FP3_variance,FP3_min,FP3_max,FP4_variance,FP4_min,FP4_max,FP5_variance,FP5_min,FP5_max,FP6_variance,FP6_min,FP6_max,FP7_variance,FP7_min,FP7_max,FP8_variance,FP8_min,FP8_max
optimal,,,0.2059001475572586,173.0,174.0,2784565.75,186.0,3896.0,3371603.25,169.0,4031.0,1864773.0,177.0,3755.0,30018.009765625,3487.0,4065.0,49480.203125,3258.0,4019.0,147621.9375,174.0,1836.0,389003.5625,178.0,2707.0
optimal,,,0.2100001722574234,173.0,174.0,2767215.75,186.0,3896.0,3364608.0,169.0,4031.0,1865669.125,177.0,3755.0,29990.60546875,3487.0,4065.0,49469.921875,3258.0,4019.0,141808.0,174.0,1836.0,383698.875,178.0,2707.0
optimal,,,0.21389995515346527,173.0,174.0,2747250.0,186.0,3896.0,3354396.75,168.0,4031.0,1867647.625,177.0,3755.0,29988.998046875,3487.0,4065.0,49808.203125,3258.0,4019.0,130931.0234375,174.0,1836.0,366850.96875,178.0,2707.0
optimal,,,0.21760021150112152,173.0,174.0,2725329.0,186.0,3896.0,3341407.75,168.0,4031.0,1877344.375,177.0,3755.0,29970.107421875,3487.0,4065.0,50354.4453125,3258.0,4019.0,114831.7421875,174.0,1836.0,346799.25,178.0,2707.0
optimal,,,0.21760022640228271,173.0,174.0,2702327.0,186.0,3896.0,3325674.5,168.0,4031.0,1885393.0,176.0,3755.0,29932.837890625,3487.0,4065.0,50961.9140625,3258.0,4019.0,94234.0390625,174.0,1836.0,331903.625,178.0,2707.0
optimal,,,0.22110015153884888,173.0,174.0,2678312.0,186.0,3896.0,3307687.25,168.0,4031.0,1892945.75,176.0,3755.0,29860.015625,3487.0,4065.0,51574.234375,3258.0,4019.0,70454.5078125,174.0,1342.0,328710.125,178.0,2707.0
optimal,,,0.22110018134117126,173.0,174.0,2653375.75,186.0,3896.0,3281831.25,168.0,4031.0,1839835.0,176.0,3755.0,29693.380859375,3487.0,4065.0,51232.18359375,3258.0,4019.0,59182.36328125,174.0,1313.0,310754.8125,178.0,2707.0
optimal,,,0.2243998497724533,173.0,174.0,2630419.25,186.0,3896.0,3252897.25,168.0,4031.0,1778018.75,176.0,3755.0,29479.880859375,3487.0,4065.0,50682.25,3258.0,4019.0,51762.4296875,174.0,1313.0,281712.59375,178.0,2707.0
optimal,,,0.2243998497724533,173.0,174.0,2607670.75,186.0,3896.0,3221126.0,168.0,4031.0,1713081.0,176.0,3755.0,29244.751953125,3487.0,4065.0,50026.44921875,3258.0,4016.0,48782.42578125,174.0,1313.0,257427.140625,178.0,2707.0
optimal,,,0.2243998497724533,173.0,174.0,2584084.5,186.0,3896.0,3186912.25,168.0,4031.0,1646640.375,176.0,3755.0,28979.751953125,3487.0,4065.0,49287.0,3258.0,4015.0,48281.51953125,174.0,1313.0,242106.4375,178.0,2707.0
optimal,,,0.2243998497724533,173.0,174.0,2559119.0,186.0,3896.0,3150366.75,168.0,4031.0,1580802.75,176.0,3755.0,28685.21484375,3487.0,4065.0,48481.51953125,3258.0,4015.0,48336.2109375,174.0,1313.0,236079.359375,178.0,2707.0
optimal,,,0.2275002896785736,173.0,174.0,2533741.25,186.0,3896.0,3112108.25,168.0,4031.0,1516340.625,176.0,3755.0,28354.42578125,3487.0,4065.0,47580.50390625,3258.0,4015.0,48389.82421875,174.0,1313.0,236243.21875,178.0,2707.0
optimal,,,0.23040007054805756,173.0,174.0,2509145.5,186.0,3896.0,3072291.25,168.0,4031.0,1453838.125,176.0,3755.0,28016.943359375,3487.0,4065.0,46642.2109375,3258.0,4015.0,48441.62109375,174.0,1313.0,236334.34375,178.0,2707.0
optimal,,,0.22750025987625122,173.0,174.0,2486284.5,186.0,3896.0,3031421.75,168.0,4031.0,1394953.625,176.0,3755.0,27723.669921875,3487.0,4065.0,45780.39453125,3258.0,4015.0,48483.62109375,174.0,1313.0,236381.59375,178.0,2707.0
optimal,,,0.22750025987625122,173.0,174.0,2459391.0,186.0,3896.0,2988227.0,168.0,4031.0,1342899.625,176.0,3755.0,27568.904296875,3487.0,4065.0,45059.46875,3258.0,4015.0,48507.49609375,174.0,1313.0,236404.421875,178.0,2707.0
optimal,,,0.22750025987625122,173.0,174.0,2473526.25,186.0,3896.0,2983109.0,168.0,4031.0,1303951.5,176.0,3755.0,27563.5,3487.0,4065.0,44483.8984375,3258.0,4015.0,48512.8515625,174.0,1313.0,236411.875,178.0,2707.0
optimal,,,0.22750025987625122,173.0,174.0,2527471.75,186.0,3896.0,2993841.0,168.0,4031.0,1281249.625,176.0,3755.0,27698.392578125,3487.0,4065.0,44015.515625,3258.0,4015.0,48489.5390625,174.0,1313.0,236404.484375,178.0,2707.0
optimal,,,0.22750025987625122,173.0,174.0,2576981.0,186.0,3896.0,3045866.5,168.0,4031.0,1270555.875,176.0,3755.0,27942.8515625,3487.0,4065.0,43655.828125,3258.0,4015.0,48960.78125,174.0,1313.0,236333.28125,178.0,2707.0
optimal,,,0.23040007054805756,173.0,174.0,2625670.75,186.0,3914.0,3095362.25,168.0,4031.0,1282777.875,176.0,3755.0,28265.015625,3487.0,4065.0,43583.859375,3258.0,4015.0,52962.46484375,174.0,1313.0,238418.40625,178.0,2707.0
optimal,,,0.22750024497509003,173.0,174.0,2670687.75,186.0,3914.0,3141157.75,168.0,4031.0,1343437.125,176.0,3755.0,28661.431640625,3487.0,4065.0,44126.09375,3258.0,4015.0,62054.37109375,174.0,1313.0,272659.96875,178.0,2707.0
optimal,,,0.22750024497509003,173.0,174.0,2708330.0,186.0,3914.0,3184269.5,168.0,4035.0,1427125.125,176.0,3755.0,29048.599609375,3487.0,4065.0,45247.75390625,3258.0,4015.0,75318.421875,174.0,1431.0,332204.40625,178.0,2792.0
optimal,,,0.22750024497509003,173.0,174.0,2737019.0,186.0,3914.0,3224286.5,168.0,4036.0,1513273.75,176.0,3850.0,29374.7890625,3487.0,4065.0,46585.0390625,3258.0,4030.0,86788.046875,174.0,1431.0,391204.5625,178.0,2809.0
optimal,,,0.22439995408058167,173.0,174.0,2759860.75,186.0,3914.0,3261028.25,168.0,4036.0,1596348.125,176.0,3850.0,29613.2890625,3487.0,4065.0,47866.796875,3258.0,4030.0,92391.7265625,174.0,1431.0,434452.71875,178.0,2809.0
optimal,,,0.2211001068353653,173.0,174.0,2779775.75,186.0,3914.0,3294245.5,168.0,4036.0,1675144.0,176.0,3850.0,29739.490234375,3487.0,4065.0,49027.83984375,3258.0,4030.0,94125.5625,174.0,1431.0,467403.40625,178.0,2809.0
optimal,,,0.2211001068353653,173.0,174.0,2797567.25,186.0,3914.0,3323736.25,168.0,4036.0,1748204.375,176.0,3850.0,29755.662109375,3487.0,4065.0,49948.58984375,3258.0,4030.0,94444.390625,174.0,1431.0,490404.84375,178.0,2809.0
optimal,,,0.21760016679763794,173.0,174.0,2812274.5,186.0,3914.0,3349544.0,168.0,4036.0,1814745.875,176.0,3850.0,29521.259765625,3487.0,4065.0,50495.87109375,3258.0,4030.0,94314.7109375,174.0,1431.0,492744.8125,178.0,2809.0
optimal,,,0.21760016679763794,173.0,174.0,2823471.0,186.0,3914.0,3371391.0,168.0,4036.0,1873837.25,176.0,3850.0,28873.248046875,3487.0,4065.0,50617.44140625,3258.0,4030.0,94139.2734375,174.0,1431.0,492400.3125,178.0,2809.0
