label,timestamp1,timestamp2,FP1_variance,FP1_min,FP1_max,FP2_variance,FP2_min,FP2_max,FP3_variance,FP3_min,FP3_max,FP4_variance,FP4_min,FP4_max,FP5_variance,FP5_min,FP5_max,FP6_variance,FP6_min,FP6_max,FP7_variance,FP7_min,FP7_max,FP8_variance,FP8_min,FP8_max
not_recomended_low_fp_correct_force,,,187.23756408691406,197.0,250.0,792175.125,555.0,3641.0,0.464399516582489,174.0,177.0,0.24160026013851166,174.0,176.0,1179770.375,188.0,3726.0,0.28639987111091614,178.0,181.0,0.3996002972126007,178.0,181.0,0.506400465965271,185.0,189.0
not_recomended_low_fp_correct_force,,,191.61155700683594,197.0,251.0,781286.75,555.0,3641.0,0.4611004889011383,174.0,177.0,0.23710030317306519,174.0,176.0,1177034.375,188.0,3726.0,0.28639987111091614,178.0,181.0,0.3996002972126007,178.0,181.0,0.5051007270812988,185.0,189.0
not_recomended_low_fp_correct_force,,,196.0171661376953,199.0,252.0,781828.0625,555.0,3641.0,0.47040003538131714,174.0,177.0,0.20749999582767487,174.0,176.0,1234284.875,188.0,3726.0,0.26510024070739746,178.0,180.0,0.369899719953537,179.0,181.0,0.4818994402885437,185.0,189.0
not_recomended_low_fp_correct_force,,,201.3739471435547,200.0,253.0,775105.1875,555.0,3641.0,0.46750056743621826,174.0,177.0,0.20749999582767487,174.0,176.0,1231803.75,188.0,3726.0,0.26510024070739746,178.0,180.0,0.3698997497558594,179.0,181.0,0.48360058665275574,185.0,189.0
not_recomended_low_fp_correct_force,,,206.59439086914062,200.0,253.0,775724.75,555.0,3641.0,0.46750059723854065,174.0,177.0,0.20749999582767487,174.0,176.0,1230011.25,188.0,3726.0,0.2636002004146576,178.0,180.0,0.3698997497558594,179.0,181.0,0.48360058665275574,185.0,189.0
not_recomended_low_fp_correct_force,,,211.2530517578125,201.0,253.0,752052.75,555.0,3641.0,0.46750059723854065,174.0,177.0,0.21239988505840302,174.0,176.0,1228316.0,188.0,3726.0,0.2636002004146576,178.0,180.0,0.37960028648376465,179.0,181.0,0.4818994402885437,185.0,189.0
not_recomended_low_fp_correct_force,,,217.0419464111328,201.0,255.0,752630.25,555.0,3641.0,0.47040003538131714,174.0,177.0,0.21239987015724182,174.0,176.0,1282047.125,188.0,3726.0,0.26189985871315,178.0,180.0,0.37960028648376465,179.0,181.0,0.4818994402885437,185.0,189.0
not_recomended_low_fp_correct_force,,,222.24754333496094,202.0,255.0,743221.9375,555.0,3641.0,0.4731003940105438,174.0,177.0,0.20749999582767487,174.0,176.0,1291472.75,188.0,3726.0,0.2600003182888031,178.0,180.0,0.3691002130508423,179.0,181.0,0.4579000771045685,185.0,189.0
not_recomended_low_fp_correct_force,,,227.3196258544922,202.0,255.0,754848.625,555.0,3641.0,0.4704000949859619,174.0,177.0,0.20749999582767487,174.0,176.0,1288803.75,188.0,3726.0,0.25790005922317505,178.0,180.0,0.3691002130508423,179.0,181.0,0.4600006937980652,185.0,189.0
not_recomended_low_fp_correct_force,,,232.44961547851562,203.0,256.0,762720.0,555.0,3641.0,0.4704000949859619,174.0,177.0,0.20749999582767487,174.0,176.0,1289555.75,188.0,3726.0,0.25559985637664795,178.0,180.0,0.3691002130508423,179.0,181.0,0.4579000771045685,185.0,189.0
