label,timestamp1,timestamp2,FP1_variance,FP1_min,FP1_max,FP2_variance,FP2_min,FP2_max,FP3_variance,FP3_min,FP3_max,FP4_variance,FP4_min,FP4_max,FP5_variance,FP5_min,FP5_max,FP6_variance,FP6_min,FP6_max,FP7_variance,FP7_min,FP7_max,FP8_variance,FP8_min,FP8_max
undetermined,,,0.009900000877678394,177.0,178.0,0.2100001871585846,169.0,170.0,0.23559986054897308,168.0,169.0,0.03840005397796631,171.0,172.0,0.009900004602968693,180.0,181.0,0.21389999985694885,186.0,187.0,0.19239996373653412,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.2100001871585846,169.0,170.0,0.23559986054897308,168.0,169.0,0.03840005397796631,171.0,172.0,0.009900004602968693,180.0,181.0,0.21389999985694885,186.0,187.0,0.19710010290145874,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.2100001871585846,169.0,170.0,0.23309984803199768,168.0,169.0,0.03840005770325661,171.0,172.0,0.009900004602968693,180.0,181.0,0.21760015189647675,186.0,187.0,0.20160013437271118,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.2059001326560974,169.0,170.0,0.23040007054805756,168.0,169.0,0.03840005770325661,171.0,172.0,0.009900004602968693,180.0,181.0,0.2211000770330429,186.0,187.0,0.20590004324913025,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.2059001326560974,169.0,170.0,0.23309984803199768,168.0,169.0,0.03840005770325661,171.0,172.0,0.009900005534291267,180.0,181.0,0.21760015189647675,186.0,187.0,0.20590005815029144,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.20160020887851715,169.0,170.0,0.23309986293315887,168.0,169.0,0.03840005770325661,171.0,172.0,0.009900005534291267,180.0,181.0,0.2211001068353653,186.0,187.0,0.2100001573562622,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.20590011775493622,169.0,170.0,0.23309986293315887,168.0,169.0,0.03840005770325661,171.0,172.0,0.009900005534291267,180.0,181.0,0.22439992427825928,186.0,187.0,0.2100001573562622,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.20590011775493622,169.0,170.0,0.23559986054897308,168.0,169.0,0.03840005770325661,171.0,172.0,0.009900005534291267,180.0,181.0,0.22439992427825928,186.0,187.0,0.21390001475811005,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.2100001871585846,169.0,170.0,0.23559986054897308,168.0,169.0,0.038400061428546906,171.0,172.0,0.009900005534291267,180.0,181.0,0.22439992427825928,186.0,187.0,0.21760009229183197,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.20590011775493622,169.0,170.0,0.23559986054897308,168.0,169.0,0.038400061428546906,171.0,172.0,0.009900005534291267,180.0,181.0,0.22750021517276764,186.0,187.0,0.2211000621318817,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.20590010285377502,169.0,170.0,0.23309987783432007,168.0,169.0,0.038400065153837204,171.0,172.0,0.009900005534291267,180.0,181.0,0.22750023007392883,186.0,187.0,0.22439996898174286,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.20590010285377502,169.0,170.0,0.23309987783432007,168.0,169.0,0.038400065153837204,171.0,172.0,0.009900005534291267,180.0,181.0,0.22750023007392883,186.0,187.0,0.22750017046928406,178.0,179.0,0.0,179.0,179.0
undetermined,,,0.009900000877678394,177.0,178.0,0.20160019397735596,169.0,170.0,0.23309986293315887,168.0,169.0,0.038400065153837204,171.0,172.0,0.009900006465613842,180.0,181.0,0.22750024497509003,186.0,187.0,0.23040007054805756,178.0,179.0,0.0,179.0,179.0
