label,timestamp1,timestamp2,FP1_variance,FP1_mean,FP1_raw,FP2_variance,FP2_mean,FP2_raw,FP3_variance,FP3_mean,FP3_raw,FP4_variance,FP4_mean,FP4_raw,FP5_variance,FP5_mean,FP5_raw,FP6_variance,FP6_mean,FP6_raw,FP7_variance,FP7_mean,FP7_raw,FP8_variance,FP8_mean,FP8_raw,ToF_variance,ToF_mean,ToF_raw
undetermined,,,0.0,177.0,177.0,0.23999997973442078,169.39999389648438,169.0,0.25,168.5,168.0,0.0,171.0,171.0,0.0,180.0,180.0,0.09000001847743988,186.89999389648438,187.0,0.0,179.0,179.0,0.0,179.0,179.0,1.9600002765655518,74.19999694824219,72.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,169.0,0.25,168.5,169.0,0.0,171.0,171.0,0.0,180.0,180.0,0.09000001847743988,186.89999389648438,187.0,0.0,179.0,179.0,0.0,179.0,179.0,1.4399999380111694,74.4000015258789,74.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,169.0,0.25,168.5,169.0,0.0,171.0,171.0,0.0,180.0,180.0,0.09000001847743988,186.89999389648438,187.0,0.0,179.0,179.0,0.0,179.0,179.0,2.010000228881836,74.69999694824219,75.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,170.0,0.25,168.5,168.0,0.0,171.0,171.0,0.0,180.0,180.0,0.1599999964237213,186.8000030517578,186.0,0.0,179.0,179.0,0.0,179.0,179.0,2.25,74.5,73.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,169.0,0.25,168.5,169.0,0.0,171.0,171.0,0.0,180.0,180.0,0.1599999964237213,186.8000030517578,187.0,0.0,179.0,179.0,0.0,179.0,179.0,2.0399999618530273,74.5999984741211,75.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,170.0,0.25,168.5,168.0,0.0,171.0,171.0,0.0,180.0,180.0,0.1599999964237213,186.8000030517578,187.0,0.0,179.0,179.0,0.0,179.0,179.0,2.2400002479553223,74.4000015258789,76.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,170.0,0.25,168.5,168.0,0.0,171.0,171.0,0.0,180.0,180.0,0.1599999964237213,186.8000030517578,187.0,0.0,179.0,179.0,0.0,179.0,179.0,2.010000228881836,74.30000305175781,72.0
undetermined,,,0.0,177.0,177.0,0.23999997973442078,169.39999389648438,170.0,0.25,168.5,169.0,0.0,171.0,171.0,0.0,180.0,180.0,0.20999999344348907,186.6999969482422,187.0,0.0,179.0,179.0,0.0,179.0,179.0,1.4500000476837158,74.5,75.0
undetermined,,,0.0,177.0,177.0,0.23999997973442078,169.39999389648438,169.0,0.23999997973442078,168.39999389648438,168.0,0.0,171.0,171.0,0.0,180.0,180.0,0.20999999344348907,186.6999969482422,187.0,0.09000000357627869,178.89999389648438,179.0,0.0,179.0,179.0,1.6100000143051147,74.30000305175781,76.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,169.0,0.25,168.5,169.0,0.0,171.0,171.0,0.0,180.0,180.0,0.23999997973442078,186.60000610351562,187.0,0.09000000357627869,178.89999389648438,179.0,0.0,179.0,179.0,1.3600001335144043,74.19999694824219,74.0
undetermined,,,0.0,177.0,177.0,0.23999997973442078,169.60000610351562,170.0,0.23999997973442078,168.39999389648438,168.0,0.09000000357627869,171.10000610351562,171.0,0.0,180.0,180.0,0.25,186.5,187.0,0.09000001102685928,178.89999389648438,179.0,0.0,179.0,179.0,1.489999771118164,74.0999984741211,74.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,169.0,0.25,168.5,169.0,0.09000000357627869,171.10000610351562,171.0,0.0,180.0,180.0,0.25,186.5,187.0,0.09000001102685928,178.89999389648438,179.0,0.0,179.0,179.0,1.8100001811981201,74.30000305175781,77.0
undetermined,,,0.0,177.0,177.0,0.23999997973442078,169.60000610351562,169.0,0.25,168.5,169.0,0.09000001102685928,171.10000610351562,171.0,0.0,180.0,180.0,0.25,186.5,186.0,0.09000001102685928,178.89999389648438,179.0,0.0,179.0,179.0,1.3600000143051147,73.80000305175781,73.0
undetermined,,,0.0,177.0,177.0,0.20999999344348907,169.6999969482422,170.0,0.23999997973442078,168.39999389648438,168.0,0.1599999964237213,171.1999969482422,171.0,0.0,180.0,180.0,0.23999997973442078,186.60000610351562,186.0,0.1599999964237213,178.8000030517578,179.0,0.0,179.0,179.0,1.290000081062317,73.9000015258789,74.0
undetermined,,,0.0,177.0,177.0,0.20999999344348907,169.6999969482422,169.0,0.23999997973442078,168.39999389648438,169.0,0.1599999964237213,171.1999969482422,171.0,0.0,180.0,180.0,0.20999999344348907,186.6999969482422,187.0,0.1599999964237213,178.8000030517578,179.0,0.0,179.0,179.0,1.3600001335144043,73.80000305175781,73.0
undetermined,,,0.0,177.0,177.0,0.1599999964237213,169.8000030517578,170.0,0.23999997973442078,168.39999389648438,168.0,0.1599999964237213,171.1999969482422,171.0,0.0,180.0,180.0,0.20999999344348907,186.6999969482422,187.0,0.1599999964237213,178.8000030517578,179.0,0.0,179.0,179.0,1.2899998426437378,73.9000015258789,75.0
undetermined,,,0.0,177.0,177.0,0.1599999964237213,169.8000030517578,169.0,0.25,168.5,168.0,0.1599999964237213,171.1999969482422,171.0,0.0,180.0,180.0,0.23999997973442078,186.60000610351562,186.0,0.1599999964237213,178.8000030517578,179.0,0.0,179.0,179.0,1.600000023841858,74.0,74.0
undetermined,,,0.0,177.0,177.0,0.1599999964237213,169.8000030517578,170.0,0.25,168.5,168.0,0.1599999964237213,171.1999969482422,171.0,0.0,180.0,180.0,0.20999999344348907,186.6999969482422,187.0,0.1599999964237213,178.8000030517578,178.0,0.0,179.0,179.0,1.6899999380111694,74.0999984741211,73.0
undetermined,,,0.0,177.0,177.0,0.20999999344348907,169.6999969482422,170.0,0.25,168.5,169.0,0.1599999964237213,171.1999969482422,171.0,0.0,180.0,180.0,0.20999999344348907,186.6999969482422,186.0,0.09000001847743988,178.89999389648438,179.0,0.0,179.0,179.0,1.6100000143051147,74.30000305175781,75.0
undetermined,,,0.0,177.0,177.0,0.20999999344348907,169.6999969482422,170.0,0.23999997973442078,168.39999389648438,168.0,0.1599999964237213,171.1999969482422,172.0,0.0,180.0,180.0,0.1599999964237213,186.8000030517578,186.0,0.09000001847743988,178.89999389648438,179.0,0.0,179.0,179.0,2.489999771118164,73.9000015258789,73.0
undetermined,,,0.0,177.0,177.0,0.23999997973442078,169.60000610351562,169.0,0.23999997973442078,168.39999389648438,169.0,0.09000001847743988,171.10000610351562,171.0,0.0,180.0,180.0,0.09000001102685928,186.89999389648438,187.0,0.09000001847743988,178.89999389648438,179.0,0.0,179.0,179.0,3.2100002765655518,74.30000305175781,76.0
undetermined,,,0.0,177.0,177.0,0.23999997973442078,169.60000610351562,170.0,0.20999999344348907,168.3000030517578,169.0,0.09000001847743988,171.10000610351562,171.0,0.0,180.0,180.0,0.1599999964237213,186.8000030517578,187.0,0.09000001847743988,178.89999389648438,179.0,0.0,179.0,179.0,3.2100002765655518,74.30000305175781,72.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,170.0,0.1599999964237213,168.1999969482422,168.0,0.09000001847743988,171.10000610351562,172.0,0.0,180.0,180.0,0.1599999964237213,186.8000030517578,187.0,0.09000001847743988,178.89999389648438,178.0,0.0,179.0,179.0,2.6500000953674316,74.5,74.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,170.0,0.1599999964237213,168.1999969482422,168.0,0.0,171.0,171.0,0.09000000357627869,180.10000610351562,180.0,0.1599999964237213,186.8000030517578,187.0,0.0,179.0,179.0,0.0,179.0,179.0,2.6500000953674316,74.5,73.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,170.0,0.20999999344348907,168.3000030517578,169.0,0.0,171.0,171.0,0.09000000357627869,180.10000610351562,180.0,0.1599999964237213,186.8000030517578,187.0,0.0,179.0,179.0,0.0,179.0,179.0,2.6500000953674316,74.5,74.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,170.0,0.20999999344348907,168.3000030517578,169.0,0.0,171.0,171.0,0.09000001102685928,180.10000610351562,180.0,0.1599999964237213,186.8000030517578,186.0,0.0,179.0,179.0,0.0,179.0,179.0,2.809999942779541,74.69999694824219,76.0
undetermined,,,0.0,177.0,177.0,0.25,169.5,169.0,0.1599999964237213,168.1999969482422,168.0,0.09000000357627869,171.10000610351562,171.0,0.09000001102685928,180.10000610351562,180.0,0.09000001847743988,186.89999389648438,187.0,0.0,179.0,179.0,0.0,179.0,179.0,2.640000343322754,74.5999984741211,75.0
undetermined,,,0.0,177.0,177.0,0.23999997973442078,169.60000610351562,169.0,0.1599999964237213,168.1999969482422,168.0,0.09000000357627869,171.10000610351562,171.0,0.09000001102685928,180.10000610351562,180.0,0.09000001847743988,186.89999389648438,187.0,0.0,179.0,179.0,0.0,179.0,179.0,2.6500000953674316,74.5,75.0
undetermined,,,0.0,177.0,177.0,0.20999999344348907,169.6999969482422,170.0,0.1599999964237213,168.1999969482422,168.0,0.09000001102685928,171.10000610351562,171.0,0.09000001847743988,180.10000610351562,180.0,0.1599999964237213,186.8000030517578,187.0,0.09000000357627869,178.89999389648438,179.0,0.0,179.0,179.0,2.640000343322754,74.4000015258789,71.0
undetermined,,,0.0,177.0,177.0,0.20999999344348907,169.6999969482422,169.0,0.20999999344348907,168.3000030517578,168.0,0.09000001102685928,171.10000610351562,171.0,0.09000001847743988,180.10000610351562,180.0,0.20999999344348907,186.6999969482422,187.0,0.09000000357627869,178.89999389648438,179.0,0.0,179.0,179.0,1.410000205039978,74.69999694824219,77.0
undetermined,,,0.0,177.0,177.0,0.1599999964237213,169.8000030517578,169.0,0.20999999344348907,168.3000030517578,168.0,0.09000001102685928,171.10000610351562,171.0,0.09000001847743988,180.10000610351562,180.0,0.20999999344348907,186.6999969482422,186.0,0.09000001102685928,178.89999389648438,179.0,0.0,179.0,179.0,0.8399999737739563,74.4000015258789,76.0
undetermined,,,0.0,177.0,177.0,0.09000001847743988,169.89999389648438,169.0,0.20999999344348907,168.3000030517578,168.0,0.09000001847743988,171.10000610351562,171.0,0.09000001847743988,180.10000610351562,180.0,0.20999999344348907,186.6999969482422,187.0,0.09000001102685928,178.89999389648438,179.0,0.0,179.0,179.0,0.5600001215934753,74.19999694824219,74.0
undetermined,,,0.0,177.0,177.0,0.09000000357627869,169.89999389648438,170.0,0.20999999344348907,168.3000030517578,168.0,0.09000001847743988,171.10000610351562,171.0,0.09000001847743988,180.10000610351562,181.0,0.20999999344348907,186.6999969482422,187.0,0.09000001102685928,178.89999389648438,179.0,0.0,179.0,179.0,0.5600001215934753,74.19999694824219,74.0
